a | at
a la derecha de | to the right of
a la izquierda de | to the left of
a traveès de | across
al lado de | next to, next door to
cerca de | near, close to, by
con | with
debajo de | under
delante de | in front of
dentro de | inside
detràs de | behind
en | in on into at
encima de | on top of
enfrente de | across from, opposite
entre (dos personas o cosas) | between
entre (varias personas o cosas) | among
frente a | facing
fuera de | outside
junto a | by, next to, next door to
lejos de | far from
sobre | on top of, above
agradecer | to be grateful/thankful for
anhelar | to yearn/long to
apagar | to turn off
aprobar (o > ue) | to approve of
arrancar | to root up, to pull out, to turn on (an engine)
atravesar (e > ie) | to go/run through, to go across
averiguar | to find out
bajar | to go down
borrar | to cross out
botar | to throwaway, to toss out
buscar | to lookfor
caerse | to fall down
calentar (e > ie) | to heat/warm up
colgar (o > ue) | to hang up
conocer | to be acquainted with
costar | to cut off, to cut out
criar | to bring up (as "to rear")
derribar | to knock down, to tear down
destacar | to stand out
elegir (e > i) | to elect/choose to
empapar | to soak/sponge up
encender (e > ie) | to turn on (lights)
ensefiar | to poi. out
entregar | to hand over
envolver (o > ue) | to wrap up
escuchar | to listen to
esperar | to wait for, to hope for
huir | to run away, to fleefrom
ignorar | to be ignorant/unaware of
indicar | to poi. out
llevar | to carry/take away
lograr | to succeed in, to manage to
merecer | to deserve to
mirar | to look at
organizar | to set up
pagan | to payfor
pedir (e > i) | to askfor
pisar | to step on
platicar | to talk over
poder (o > ue) | to be able to
poner | to turn on (an appliance)
preferir | to prefer to pretender to seek/aspire to, to claim to guitar to take off
recoger | to pick up
rogar (o > ue) | to beg for, to pm for
saber | to know how to (do something)
sacar | to take out
salir | to go out (of a place, on a date)
sehalar | to point out
separar | to set apart
soler (o > ue) | to be accustomed to, to be in the habit of
soplar | to blow out
subir | to go up, to come up, to get on (a train, bus, etc.)
tachar | to cross out
tender (e > it) | to hang out (laundry), to spread out
yacer | to lie down
pedir (e > i) | to ask for
pisar |to step on
platicar | to talk over poder (o > ue) to be able to
acertar a (v.)        | to manage to (do something), to succeed in (doing something)
acostumbrarse a (n./v.) | to become used to (someone/something), to become used to (doing something)
adaptarse a (n./v.)   | to adapt oneself to (something [a situation)/ doing something)
adelantarse a (n./v.) | to step forward to (someone/something / doing something)
animar a (v.)         | to encourage to (do something)
animarse a (v.)       | to decide to (do something), to make up one's mind to (do something)
aprender a (v.)       | to learn to (do something)
apresurarse a (n./v.) | to hasten to (somewhere e / do something), to hurry to (somewhere / do something)
arriesgarse a (v.)    | to risk (doing something)
asistir a (n.)        | to attend (something la function))
asomarse a (n.)       | to appear at (something), to look out from (something)
aspirar a (v.)        | to aspire to (do something / be someone)
atreverse a (v.)      | to dare to (do something)
aventurarse a (v.)    | to venture to (do something)
ayudar a (v.)         | to help to (do something), to aid in (doing something)
burlar a (n.)         | to deceive (someone), to playa trick on (someone)
comenzar a (v.)      | to begin to (do something)
comprometerse a (v.) | to make a commitment to (do something)
condenar a (v.)      | to condemn to (do something)
consagrarse a (n.)   | to devote oneself to (someone/something)
contribute a (n./v.) | to contribute to (something / doing something)
convidar a (n./v.)   | to invite to (something [a function] / do something)
comer a (n./v.)      | to run to (somewhere / do something)
colder a (n.)        | to care for (someone [a person, a pet]), to take care of (someone [a person, a pet])
der a (n.)           | to face (something)
der cuerda a (n.)    | to wind (something [a watch])
decidirse a (v.)     | to decide to (do something)
dirigirse a (n./v.)  | to go to (somewhere), to address (someone), to direct oneself to (doing something)
disponerse a (v.)    | to prepare to (do something), to be disposed to (do something)
empezar a (v.)       | to begin to (do something)
ensehar a (v.)       | to teach to (do something)
forzar a (v.)        | to force to (do something)
impulsar a (v.)      | to impel to (do something)
inciter a (v.)       | to incite to (do something)
hidudr a (v.)        | to induce to (do something)
inspirer a (v.)      | to inspire to (do something)
instar a (v.)        | to urge to (do something)
inviter a (v.)       | to invite to (do something)
ir a (n./v.)     | to go to (somewhere), to be going to (do something)
limitarse a (v.) | to limit oneself to (doing something)
llegar a (n./v.) | to arrive at (somewhere)/ to be going to (do something)
meterse a (v.)   | to take up (doing something)
montar a (n.)    | to ride (something to horse))
negarse a (v.)   | to refuse to (do something)
obligar a (v.)   | to oblige to (do something), to force to (do something)
ofrecerse a (r.) | to offer to (do something), to promise to (do something), to volunteer to (do something)
oler a (m)       | to smell like (something)
oponerse a (n.h.)| to oppose (something / doing something), to be in opposition to (something/ doing something)
pararse a (v.)   | to stop to (do something)
parecerse a (n.) | to resemble (sotneone/something)
