this morning | esta manana |
this afternoon | esta tarde |
yesterday | ayer |
yesterday morning | ayer por la manana |
yesterday afternoon | ayer por la tarde |
last night | anoche |
last saturday | el sabado pasado |
last week | la semana pasada |
last month | el mes pasado |
last year | el ano pasado |
two days ago | hace dos dias |
a month ago | hace un mes |
dudar que | to doubt that
no creer que | to not believe that
no estar convencido/convencida de que | to not be convinced that
no estar seguro/segura de que |to not be sure that
no imaginarse que |to not imagine that
no parecer que |to not seem that
no pensar que |to not think that
no suponer que |to not suppose that
temer que |to suspect/fear that
esperar |to hope
exigir |to demand
insistir en |to insist (on)
rogar (o > ue) to pray, beg
ojalá | God willing, I strongly hope
sugerir (e > ie) | to suggest
pedir (e > i) | to request
es fantástico que | it is fantastic that
es importante que | it is important that
es imposible que | it is impossible that
es increíble que | it is incredible that
es (una) lástima que | it is a pity that, it is a shame that
es mejor que | it is better that
es necesario que | it is necessary that
es posible que | it is possible that
es preferible que | it is preferable that
es probable que | it is probable that
es ridículo que | it is ridiculous that
es terrible que | it is terrible that
más vale que | it is better that
ojalá (que) | I hope (that), if only he/it/they/etc. would/could/might, God willing (that)
puede ser que | it may be that
a menos que |unless hasta que until
antes (de) que |before mientras que while
con tal (de) que |provided that
para que |so that, in order that
cuando |when
sin que | without
después (de) que | after
tan pronto como | as soon as
en caso de que | in case
contarte | to tell you (raccontarti)
lleva gafas | porta occhiali
rubia | bionda
pastel | ???
busco jòvenes para club de debate social | cerco ragazzi per club di dibattito sociale
la ficha | ???
nieto | ???
pareja | ???
viudo | vedovo
llevar bigote | ???
delgado | ???
pelo liso/rizado | capelli lisci/ricci
tengo el pelo corto. tengo los ojos azules | ho i capelli corti. Ho gli occhi azzurri
cuchillo | cucchiaino
aqui llevo una vida muy ocupada | qui ho una vita molto occupata
